S. No.,Item name*,Item code,Purchase,Sale Price,In stock,
199,COLGATE ADVANCED HEALTH,8901314310057,80,99,3,
200,COLGATE STRONG TEETH 150,,28,56,0,
201,COLGATE TOOTH BRASH,8901314309358,40,50,0,
202,COLIN GLASS CLEANER 500M,,90,96,0,
203,COLOR NATURAL 3D 5 NO,,159,180,1,
204,COOKIES BAKERY BADAM,,50,65,2,
205,COOKIES BAKERY JAM CHOCO,,25,35,1,
206,COOKIES DRY FRUITS BAKER,,50,65,2,
207,COOKIES GUR AATA,,25,35,0,
208,COOKIES NAN KHATAI,,25,35,0,
209,CORN FLAKES 290G,8901499009135,0,0,0,
210,CORN FLAKES ORIGINAL TET,8901499008190,153,180,1,
211,COSCO SHUTTLE SINGLE SHU,,45,75,0,
212,CRANBERRY & BLUEBERRY BR,8906112662780,200,295,2,
213,CRAX BOWLS,8908016029270,16.75,25,2,
214,CREMICA BOURNBON,8906001384151,8,10,1,
215,CREMICA COCONUT COOKIES,,50,60,1,
216,CREMICA GOLDEN BITES BUT,8906001380511,27,37,0,
217,CREMICA JEERA LITE 40GM,,4.5,5,0,
218,CREMICA MAGIC CREAM 29 G,8906001380207,4.5,5,1,
219,CREMICA NON STOP PATATO,8906078264646,13.33,20,3,
220,CREMICA NON STOP POTATO,8906078264653,13.33,20,3,
221,CREMICA TOMATO KETCHUP 9,8904234100289,100,130,2,
222,CREMICA TOMATO KETCHUP 9,8904234103389,100,125,6,
223,CRUNCHILICIOUS BUTTERSCO,8901030735110,112.5,0,2,
224,CRUSHED ROCK SALT 200GM,8908013998043,17,20,-3,
225,CYCLE BRAND ALL IN ONE A,8901751003109,109,179,0,
226,CYCLE DURGESHWARI DHOOP,8901751006278,20,24,0,
227,DAIRY MILK,8901233034690,99,149,2,
228,DALCHINI 50 GM,,15,70,4,
229,DASANI WATER BOTTLE 1 LT,8901764082030,12,20,3,
230,DECORATION CURTAIN GOLDE,,22,40,20,
231,DECORATION CURTAIN RED C,,22,40,20,
232,DECORATION LACE RIBBON Y,,25,40,5,
233,DELIWRAP FOIL COMBO,8906074140128,115,225,11,
234,DELMONTE KETCHUP SAUCE P,,0.77,1,92,
235,DELMONTE SPIRALI PASTA 5,8901246003553,180,190,1,
236,DELMONTE SWEET & CHILLI,,50,55,0,
237,DELMONTE TANDOORI MAYO 8,,32,35,0,
238,DELMONTE TOMATO KETCHUP,8901246003133,90,100,1,
239,DENVER HAMILTON DEO 1,,105,210,0,
240,DETOL SOAP MINTHOL BLUE,8901396399308,45,50,5,
241,DETTOL 300 GM,8901396396130,100,120,0,
242,DETTOL HYGIENE BODY WASH,8901396368151,190,200,1,
243,DETTOL JASMINE FRAGRANCE,8901396396536,100,120,-1,
244,DEVNER SPRAY,8901450001246,210,210,0,
245,DG BREGANO 850 GM,8906114820218,130,150,0,
246,DIAMOND,,0,0,0,
247,DIAMOND CREAM AND ONION,8906004561511,8,10,-3,
248,DISANO SPAGHETTI 500GM,8906047520254,99,198,3,
249,DISPO,,0,0,-1,
250,DOMEX KILL ALL GERMS 5OO,8901030710681,59,99,3,
251,DOMS Y1 PENSIL BOX 10 PC,8906073770463,35,40,7,
